WHO region,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,ISO_SDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,42,2013-10-14T04:00:00.000Z,8278,7874,0,44,172,0,3,219,0,22,63,85,304,,3
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,43,2013-10-21T04:00:00.000Z,8462,7321,0,53,151,0,6,210,0,9,88,97,307,,3
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,44,2013-10-28T04:00:00.000Z,8810,8313,0,94,187,0,8,289,0,32,86,118,407,,3
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,45,2013-11-04T05:00:00.000Z,8794,7365,0,91,199,0,5,295,1,8,115,124,419,,3
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,46,2013-11-11T05:00:00.000Z,9412,8711,0,162,230,0,2,394,3,87,144,234,628,,3
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,47,2013-11-18T05:00:00.000Z,9453,8107,0,130,297,0,10,437,0,49,211,260,697,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,48,2013-11-25T05:00:00.000Z,10131,9906,0,264,498,0,4,766,7,173,241,421,1187,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,49,2013-12-02T05:00:00.000Z,10440,10069,0,341,691,0,2,1034,6,183,341,530,1564,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,50,2013-12-09T05:00:00.000Z,10532,9987,0,496,822,0,7,1325,7,168,450,625,1950,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,51,2013-12-16T05:00:00.000Z,10914,9571,0,620,976,0,12,1608,6,75,592,673,2281,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2013,52,2013-12-23T05:00:00.000Z,11831,11193,0,1193,1212,0,10,2415,6,323,655,984,3399,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,1,2013-12-30T05:00:00.000Z,11355,10751,0,1618,1129,0,6,2753,5,324,678,1007,3760,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,2,2014-01-06T05:00:00.000Z,11985,10199,0,1837,899,0,22,2758,2,210,810,1022,3780,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,3,2014-01-13T05:00:00.000Z,11998,10756,0,2131,818,0,33,2982,8,278,823,1109,4091,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,4,2014-01-20T05:00:00.000Z,11776,9621,0,1878,644,0,19,2541,0,50,897,947,3488,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,5,2014-01-27T05:00:00.000Z,8616,6575,0,1101,347,0,43,1491,0,35,613,648,2139,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,6,2014-02-03T05:00:00.000Z,9206,8275,0,1189,343,0,8,1540,1,154,644,799,2339,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,7,2014-02-10T05:00:00.000Z,10331,9884,0,1105,261,0,9,1375,7,311,559,877,2252,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,8,2014-02-17T05:00:00.000Z,10492,9713,0,941,218,0,5,1164,5,274,628,907,2071,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,9,2014-02-24T05:00:00.000Z,10784,10304,0,852,245,0,4,1101,15,393,669,1077,2178,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,10,2014-03-03T05:00:00.000Z,10297,9645,0,653,171,0,8,832,8,303,672,983,1815,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,11,2014-03-10T04:00:00.000Z,10114,8715,0,427,190,0,2,619,0,121,801,922,1541,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,12,2014-03-17T04:00:00.000Z,10355,9853,0,369,151,0,0,520,18,312,676,1006,1526,,5
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,13,2014-03-24T04:00:00.000Z,9898,8956,0,284,124,0,3,411,9,182,517,708,1119,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,14,2014-03-31T04:00:00.000Z,7512,6403,0,148,83,0,3,234,1,47,400,448,682,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,15,2014-04-07T04:00:00.000Z,6848,5909,0,99,66,0,4,169,1,30,275,306,475,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,16,2014-04-14T04:00:00.000Z,6959,6491,0,84,83,0,1,168,1,77,164,242,410,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,17,2014-04-21T04:00:00.000Z,6599,5941,0,48,100,0,10,158,0,30,153,183,341,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,18,2014-04-28T04:00:00.000Z,6219,6026,0,31,102,0,3,136,0,50,108,158,294,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,19,2014-05-05T04:00:00.000Z,6868,6514,0,28,140,0,2,170,5,56,81,142,312,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,20,2014-05-12T04:00:00.000Z,6749,6269,0,16,186,0,1,203,5,26,89,120,323,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,21,2014-05-19T04:00:00.000Z,6502,5549,0,5,152,0,2,159,0,7,88,95,254,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,22,2014-05-26T04:00:00.000Z,6294,5273,0,12,208,0,1,221,0,4,64,68,289,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,23,2014-06-02T04:00:00.000Z,6686,6523,0,3,357,0,7,367,0,11,44,55,422,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,24,2014-06-09T04:00:00.000Z,6848,6549,0,15,531,0,2,548,2,13,29,44,592,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,25,2014-06-16T04:00:00.000Z,6720,6104,0,5,478,0,0,483,1,8,45,54,537,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,26,2014-06-23T04:00:00.000Z,6283,5313,0,14,592,0,1,607,1,9,45,55,662,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,27,2014-06-30T04:00:00.000Z,6417,5373,0,2,671,0,6,679,1,5,35,41,720,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,28,2014-07-07T04:00:00.000Z,7072,6937,0,9,987,0,1,997,3,26,15,44,1041,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,29,2014-07-14T04:00:00.000Z,6767,6598,0,2,1119,0,1,1122,1,17,18,36,1158,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,30,2014-07-21T04:00:00.000Z,6643,6369,0,4,1179,0,4,1187,1,13,28,42,1229,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,31,2014-07-28T04:00:00.000Z,6403,5912,0,0,1125,0,11,1136,0,5,28,33,1169,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,32,2014-08-04T04:00:00.000Z,6510,5450,0,0,921,0,5,926,0,2,41,43,969,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,33,2014-08-11T04:00:00.000Z,6421,5502,0,0,933,0,8,941,0,5,43,48,989,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,34,2014-08-18T04:00:00.000Z,6475,5953,0,1,845,0,7,853,0,13,36,49,902,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,35,2014-08-25T04:00:00.000Z,6422,6314,0,1,747,0,3,751,3,53,15,71,822,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,36,2014-09-01T04:00:00.000Z,6780,6472,0,2,666,0,2,670,1,32,23,56,726,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,37,2014-09-08T04:00:00.000Z,6710,6320,0,12,535,0,2,549,1,56,18,75,624,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,38,2014-09-15T04:00:00.000Z,6611,5893,0,5,364,0,9,378,1,61,25,87,465,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,39,2014-09-22T04:00:00.000Z,6726,5517,0,1,244,0,5,250,0,38,26,64,314,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,40,2014-09-29T04:00:00.000Z,6950,6777,0,4,215,0,0,219,0,36,23,59,278,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,41,2014-10-06T04:00:00.000Z,9084,8728,0,6,224,0,1,231,0,35,19,54,285,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,42,2014-10-13T04:00:00.000Z,9743,8898,0,6,186,0,0,192,0,31,12,43,235,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,43,2014-10-20T04:00:00.000Z,9764,8004,0,14,189,0,4,207,0,38,18,56,263,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,44,2014-10-27T04:00:00.000Z,9964,9703,0,5,271,0,0,276,1,30,13,44,320,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,45,2014-11-03T05:00:00.000Z,10190,9948,0,5,346,0,1,352,1,38,9,48,400,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,46,2014-11-10T05:00:00.000Z,10214,9941,0,10,480,0,1,491,4,39,8,51,542,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,47,2014-11-17T05:00:00.000Z,10504,9780,0,18,741,0,4,763,2,62,11,75,838,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,48,2014-11-24T05:00:00.000Z,10317,8622,0,25,794,0,3,822,1,51,15,67,889,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,49,2014-12-01T05:00:00.000Z,10711,8952,0,19,1184,0,12,1215,1,56,16,73,1288,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,50,2014-12-08T05:00:00.000Z,10868,9179,0,22,1508,0,3,1533,5,106,19,130,1663,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,51,2014-12-15T05:00:00.000Z,11284,9318,0,9,1875,0,0,1884,0,182,9,191,2075,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2014,52,2014-12-22T05:00:00.000Z,11152,9193,0,9,1886,0,2,1897,9,303,46,358,2255,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2015,1,2014-12-29T05:00:00.000Z,10213,8370,0,9,1538,0,6,1553,3,341,41,385,1938,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2015,2,2015-01-05T05:00:00.000Z,10650,10194,0,22,1922,0,6,1950,13,609,15,637,2587,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2015,3,2015-01-12T05:00:00.000Z,11289,11088,0,14,1440,0,4,1458,14,797,62,873,2331,,4
WPR,Eastern Asia,China,CHN,NOTDEFINED,2015,4,2015-01-19T05:00:00.000Z,11423,11085,0,11,1149,0,16,1176,22,858,69,949,2125,,4
